Project,Bug,Gen_Patches,Plausible_Patches,Correct_Patches
Cli,1,16,13,13
Cli,3,17,17,17
Cli,5,24,15,15
Cli,4,100,76,76
Cli,7,58,58,58
Cli,2,104,92,92
Cli,9,108,83,83
Cli,10,117,91,91
Cli,12,42,19,19
Cli,14,171,97,97
Cli,8,313,281,281
Cli,15,60,36,36
Cli,13,226,154,154
Cli,11,318,278,278
Cli,17,104,75,75
Cli,18,104,75,75
Cli,19,104,75,75
Cli,20,103,75,75
Cli,22,97,78,78
Cli,21,256,138,138
Cli,16,339,272,272
Cli,26,52,42,42
Cli,27,22,17,17
Cli,23,320,233,233
Cli,29,25,15,15
Cli,28,99,70,70
Cli,24,337,275,275
Cli,25,344,284,284
Cli,32,354,304,304
Cli,33,335,294,294
Cli,35,40,20,20
Cli,30,466,441,441
Cli,36,65,33,33
Cli,31,588,485,485
Cli,39,13,12,12
Cli,40,13,12,12
Cli,34,236,181,181
Cli,37,370,195,195
Cli,38,372,202,202
