Project,Bug,TotalMutants,Plausible(LIVE),Incorrect
Cli,Cli-1,16,4,12
Cli,Cli-10,117,14,103
Cli,Cli-11,317,89,228
Cli,Cli-12,62,9,53
Cli,Cli-13,226,47,179
Cli,Cli-14,172,26,146
Cli,Cli-15,73,14,59
Cli,Cli-16,348,107,241
Cli,Cli-17,104,13,91
Cli,Cli-18,104,13,91
Cli,Cli-19,103,14,89
Cli,Cli-2,104,15,89
Cli,Cli-20,113,17,96
Cli,Cli-21,268,34,234
Cli,Cli-22,109,18,91
Cli,Cli-23,334,78,256
Cli,Cli-24,344,71,273
Cli,Cli-25,340,72,268
Cli,Cli-26,53,5,48
Cli,Cli-27,22,1,21
Cli,Cli-28,99,12,87
Cli,Cli-29,47,4,43
Cli,Cli-3,22,6,16
Cli,Cli-30,484,93,391
Cli,Cli-31,598,128,470
Cli,Cli-32,335,58,277
Cli,Cli-33,342,64,278
Cli,Cli-34,236,54,182
Cli,Cli-35,42,8,34
Cli,Cli-36,65,10,55
Cli,Cli-37,372,80,292
Cli,Cli-38,385,87,298
Cli,Cli-39,13,0,13
Cli,Cli-4,107,14,93
Cli,Cli-40,13,0,13
Cli,Cli-5,25,0,25
Cli,Cli-7,58,25,33
Cli,Cli-8,315,91,224
Cli,Cli-9,117,14,103
